well_id,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,state,precip_gini,recharge_gini,kuma_a,kuma_b,lat,lon,nlcd_code,landcover,landcover_simple,n_events,total_precip_mm,total_recharge_mm,recharge_efficiency
390211074505502,0,3.750992775,2.6106630343801163,8.0,72.2,19.8,New Jersey,0.4805045093414292,0.6798610686274718,1.2680263026365337,1.0054940379960842,39.036502,-74.8482243,90,Woody Wetlands,Wetland,747,15841.689999999999,51933.814736141,3.2783001520760098
391145074520401,0,2.864633083,1.0164816047168652,4.7,78.2,17.0,New Jersey,0.4713835376638926,0.6369214014242583,1.1632925215834606,0.9811984294912603,39.1959475,-74.8673916,90,Woody Wetlands,Wetland,1109,24370.489999999998,55997.33019501259,2.2977515099209165
391621074435401,0,3.184530973,1.1080354901781635,4.6,74.1,21.3,New Jersey,0.4767211633123839,0.5879957007682585,1.2872979757243794,1.2210586735863416,39.2726149,-74.7312737,90,Woody Wetlands,Wetland,591,13171.990000000002,66992.86295239102,5.086009247835066
392232074234403,0,15.799200058,2.729002517754173,9.1,72.8,18.1,New Jersey,0.4654116436841714,0.5668268310857351,0.9561767009006638,0.8845541286466868,39.3956718,-74.6251579,21,"Developed, Open Space",Developed,638,15244.170000000002,42513.62450922647,2.7888448180010106
392731075092401,-2,23.599794388,1.6817540664071446,10.1,55.7,34.3,New Jersey,0.461705248739064,0.5122945710506599,0.893197377966551,0.9662676852349736,39.45900397,-75.15768338,90,Woody Wetlands,Wetland,1808,41098.09,101926.04271747859,2.4800676313054595
392732075092401,-2,23.599794388,1.629949421389847,10.1,55.7,34.3,New Jersey,0.4785897733425148,0.490837674734989,0.8138012731545495,0.9529793738292688,39.45900397,-75.15768338,90,Woody Wetlands,Wetland,835,18288.800000000003,41178.43952489666,2.251565959762076
392920074570001,0,26.536455154,2.7627505590863954,10.8,61.1,28.1,New Jersey,0.4361514938790798,0.4843562728030952,0.9899135025181328,1.0365937950007182,39.48900475,-74.94961658,90,Woody Wetlands,Wetland,901,23225.7,107145.00149642583,4.613208708302691
393232074263903,1,10.821445465,5.799528792752614,9.9,67.6,22.5,New Jersey,0.430036293636008,0.5109422892587794,1.0514063800320834,1.218035819803113,39.4442836,-74.54182078,43,Mixed Forest,Forest,646,18247.73,83790.17368393079,4.591813539762523
393246075012701,0,34.76676178,6.055338415019763,9.2,61.1,29.7,New Jersey,0.4635550565837719,0.5835857817064005,0.756093972073069,0.8646937344923737,39.54400446,-75.0118401,21,"Developed, Open Space",Developed,1073,25996.050000000003,46934.73942864422,1.805456576235398
393749074550901,0,28.214708328,1.725714627689276,7.7,65.2,27.2,New Jersey,0.4639597744388464,0.6999650158811208,1.2466339624815028,0.8788020891472772,39.63105556,-74.9201667,43,Mixed Forest,Forest,924,22401.22,62543.822984913546,2.7919828913297375
394106074362501,0,18.975687027,4.004685071869598,5.6,80.5,13.8,New Jersey,0.4481658375375622,0.6498956283122628,0.8676214016211683,1.1614506563449836,39.6851181,-74.6059886,42,Evergreen Forest,Forest,985,24763.89,48723.25525508478,1.9675121822575041
394236075272101,0,4.952962399,3.2987506644960787,19.1,38.7,42.2,New Jersey,0.4789732988588832,0.6717134622311819,0.8868694994534447,0.9154483330818736,39.71058586,-75.45669539,82,Cultivated Crops,Agriculture,860,20131.75,45796.003167860166,2.2748148157939654
394354075025901,0,44.049346924,4.810177037748799,,,,New Jersey,0.4699393922359521,0.6079311648747014,0.7775572856228784,0.8240298768503128,39.73178139,-75.0493369,23,"Developed, Medium Intensity",Developed,1526,34474.41,46575.35849693218,1.351012490044998
394422074430903,0,13.893259048,2.003603040620066,7.7,72.3,19.9,New Jersey,0.4730661174361407,0.6694153612706129,0.9036284583552302,0.828872949409203,39.73956215,-74.7187696,43,Mixed Forest,Forest,898,22290.72,40992.30614420095,1.8389852882365822
394430077225001,22,239.414855957,28.870427285850468,17.9,30.2,51.9,Pennsylvania,0.5246959437919403,0.6890076519667739,0.9819698722223534,0.8529473934442041,39.7416111,-77.3805833,21,"Developed, Open Space",Developed,325,6611.4800000000005,31653.432115506057,4.787646958851279
394440074593101,0,52.080478668,8.968305357400723,14.2,60.7,25.1,New Jersey,0.4445254797726311,0.5198054771636551,0.7838062437765353,1.3453548536317743,39.74455949,-74.9915549,21,"Developed, Open Space",Developed,700,17173.09,21967.740415258555,1.279195556260321
394452074281901,0,23.088380814,0.7674335436087345,5.5,79.7,14.8,New Jersey,0.4705308414239482,0.61628946896115,1.2590947454460268,1.114325842772518,39.74789698,-74.4715388,90,Woody Wetlands,Wetland,800,18540.0,75934.64827487548,4.095719971676131
394742074142002,1,13.457046509,2.544571543165468,8.1,74.1,17.8,New Jersey,0.4304388147433849,0.4559911702309869,1.0014032622545317,1.319374108344439,39.79567487,-74.237919,23,"Developed, Medium Intensity",Developed,550,15389.41,71227.49011130488,4.628344433692058
395034074112101,0,4.912670612,2.693018881838075,,,,New Jersey,0.4687428071295887,0.6706844577130854,1.286107211289845,0.988851548987791,39.8428968,-74.1887509,22,"Developed, Low Intensity",Developed,399,9399.210000000001,25552.949000108936,2.7186273101791465
395122074301702,0,42.829589844,6.336894766674812,8.1,66.1,25.8,New Jersey,0.4713379213026183,0.5182639130816882,0.6792804100594234,1.0185155472855345,39.8562286,-74.50431859,42,Evergreen Forest,Forest,803,20207.75,26701.341843780985,1.3213416557400495
395150074284201,-1,45.533824921,6.80121031877377,7.9,64.0,28.2,New Jersey,0.454568522256168,0.6686708398756883,0.7264424834229243,1.1932240421780302,39.86456196,-74.4795955,42,Evergreen Forest,Forest,1158,28634.7,31679.99711711176,1.1063498872735444
395450075485401,-11,91.310005188,3.726211499828709,25.2,26.9,47.9,Pennsylvania,0.4796463546455622,0.7096130222172674,1.2699513807762504,0.989644545385583,39.9137222,-75.8141944,22,"Developed, Low Intensity",Developed,1580,37114.340000000004,136616.6480130886,3.6809666563675543
395512075293701,-5,83.232269287,2.058510362803481,19.6,34.8,45.6,Pennsylvania,0.478292361321573,0.7337115511888102,1.5017001412921591,1.121331429327218,39.9200833,-75.4930556,81,Pasture/Hay,Agriculture,1934,45772.04,139715.03315301632,3.0524100117236705
395920079021501,-3,707.261779785,7.107587988226638,25.4,32.3,42.2,Pennsylvania,0.4606919104373884,0.5621172212910617,1.0951207322482752,1.0890593507220896,39.9888333,-79.0375,42,Evergreen Forest,Forest,1249,24762.78,99812.37643964218,4.030741961913896
395928074502701,-2,3.504024744,1.578310679643147,19.2,57.3,23.5,New Jersey,0.467681692919191,0.6625177682208299,1.3915371946118258,1.1230696572506882,39.9912232,-74.840442,41,Deciduous Forest,Forest,1021,22318.65,74031.75129930752,3.3170353627709344
400120074265401,3,54.313117981,15.436182590288144,12.1,61.6,26.3,New Jersey,0.4693540948470407,0.5625082635343733,0.6740716446032047,1.3667211617341972,40.0223375,-74.4479288,31,Barren Land,Barren,1630,39631.920000000006,32980.50829813173,0.832170338911961
400148074352101,-1,34.231559753,2.7297048439601204,,,,New Jersey,0.466199832274872,0.5181944913576868,0.800503817239039,1.023103845398258,40.0301135,-74.58876678,24,"Developed, High Intensity",Developed,718,17808.850000000002,38470.735106124484,2.1602032195298673
400209077183301,-8,293.481018066,6.470918341060363,16.3,35.2,48.5,Pennsylvania,0.4831490874334588,0.7476045984312844,1.0690181507413323,0.7999934525178556,40.03527778,-77.3080833,21,"Developed, Open Space",Developed,909,21823.25,80206.39211411837,3.6752725700396764
400217078281901,-7,352.317749023,5.380790019967495,30.8,24.0,45.3,Pennsylvania,0.4572606215408362,0.6353006234300331,0.8411781858340882,0.7837230896532971,40.0376111,-78.4719167,22,"Developed, Low Intensity",Developed,695,11644.689999999999,44308.82883954102,3.805067274400695
400229075104601,-2,81.823608398,4.680863664129634,,,,Pennsylvania,0.459385286386922,0.6537090187325589,1.0690697260897386,0.8941975183228916,40.0414722,-75.1793333,22,"Developed, Low Intensity",Developed,537,11861.449999999999,39931.2191950226,3.3664703046442552
