well_id,lat_x,lon_x,n_events_x,precip_gini,recharge_gini,mtpi,elevation_m,mean_depth_to_water_m,clay,sand,silt,lat_y,lon_y,state,n_events_y,total_precip_mm,total_recharge_mm
390211074505502,39.036502,-74.8482243,467,0.3465406439466445,0.5814442622630254,0,3.750992775,2.6106630343801163,8.0,72.2,19.8,39.036502,-74.8482243,New Jersey,467,14297.669999999998,49124.65873927349
391145074520401,39.1959475,-74.8673916,729,0.34989339634759753,0.5416881067715735,0,2.864633083,1.0164816047168652,4.7,78.2,17.0,39.1959475,-74.8673916,New Jersey,729,22230.879999999997,52184.5208242277
391621074435401,39.2726149,-74.7312737,376,0.3418178341582222,0.431827064958459,0,3.184530973,1.1080354901781637,4.6,74.1,21.3,39.2726149,-74.7312737,New Jersey,376,11978.4,64289.679395770036
392232074234403,39.3956718,-74.6251579,423,0.3384376166009281,0.4746708184210461,0,15.799200058,2.729002517754173,9.1,72.8,18.1,39.3956718,-74.6251579,New Jersey,423,13975.58,38804.95147114511
392731075092401,39.45900397,-75.15768338,1215,0.34463217323152706,0.43324657972657554,-2,23.599794388,1.6817540664071446,10.1,55.7,34.3,39.45900397,-75.15768338,New Jersey,1215,37639.91,91098.40804060128
392732075092401,39.45900397,-75.15768338,533,0.35072084346386356,0.41943213497935783,-2,23.599794388,1.6299494213898473,10.1,55.7,34.3,39.45900397,-75.15768338,New Jersey,533,16583.11,35414.24105666878
392920074570001,39.48900475,-74.94961658,694,0.3433674212905051,0.40256655156700993,0,26.536455154,2.7627505590863954,10.8,61.1,28.1,39.48900475,-74.94961658,New Jersey,694,22157.25,104581.0127275451
393232074263903,39.4442836,-74.54182078,569,0.3317073068582631,0.38631510684526793,1,10.821445465,5.799528792752614,9.9,67.6,22.5,39.4442836,-74.54182078,New Jersey,569,18833.12,105594.75438590393
393246075012701,39.54400446,-75.0118401,753,0.35548974463290073,0.5481357550662637,0,34.76676178,6.055338415019763,9.2,61.1,29.7,39.54400446,-75.0118401,New Jersey,753,24147.76,41589.36698275449
393749074550901,39.63105556,-74.9201667,635,0.34175640213271186,0.6153997764448338,0,28.214708328,1.7257146276892759,7.7,65.2,27.2,39.63105556,-74.9201667,New Jersey,635,20813.1,60949.211944069284
394106074362501,39.6851181,-74.6059886,722,0.33984891830572017,0.6341880911038577,0,18.975687027,4.004685071869598,5.6,80.5,13.8,39.6851181,-74.6059886,New Jersey,722,23475.96,48402.76436866849
394236075272101,39.71058586,-75.45669539,588,0.3700671401405785,0.6493973989363431,0,4.952962399,3.2987506644960787,19.1,38.7,42.2,39.71058586,-75.45669539,New Jersey,588,18631.230000000003,42640.666018647265
394354075025901,39.73178139,-75.0493369,993,0.3359629064650418,0.5560202454542404,0,44.049346924,4.810177037748799,,,,39.73178139,-75.0493369,New Jersey,993,31530.380000000005,40933.11366800553
394422074430903,39.73956215,-74.7187696,614,0.35224798096872956,0.6106497817097507,0,13.893259048,2.003603040620066,7.7,72.3,19.9,39.73956215,-74.7187696,New Jersey,614,20691.870000000003,37760.39868250595
394430077225001,39.7416111,-77.3805833,631,0.3761922050213108,0.5429042221069267,22,239.414855957,28.870427285850468,17.9,30.2,51.9,39.7416111,-77.3805833,Pennsylvania,631,20325.519999999997,837422.3000503784
394440074593101,39.74455949,-74.9915549,496,0.3298396149415074,0.49318729635121816,0,52.080478668,8.968305357400723,14.2,60.7,25.1,39.74455949,-74.9915549,New Jersey,496,15990.7,18313.506463811456
394452074281901,39.74789698,-74.4715388,535,0.33821125836636945,0.47322356326197235,0,23.088380814,0.7674335436087345,5.5,79.7,14.8,39.74789698,-74.4715388,New Jersey,535,17165.239999999998,74614.28060549054
394742074142002,39.79567487,-74.237919,467,0.345605819396831,0.33928435745164354,1,13.457046509,2.5445715431654676,8.1,74.1,17.8,39.79567487,-74.237919,New Jersey,467,15294.32,77444.28160443553
395034074112101,39.8428968,-74.1887509,269,0.3411658207700782,0.569458098216046,0,4.912670612,2.693018881838075,,,,39.8428968,-74.1887509,New Jersey,269,8692.36,24545.773183825248
395122074301702,39.8562286,-74.50431859,548,0.3536692889501014,0.4927902865001452,0,42.829589844,6.336894766674812,8.1,66.1,25.8,39.8562286,-74.50431859,New Jersey,548,18700.98,22165.5485422603
395150074284201,39.86456196,-74.4795955,818,0.3437325295947541,0.6667067899780816,-1,45.533824921,6.80121031877377,7.9,64.0,28.2,39.86456196,-74.4795955,New Jersey,818,26652.739999999998,26827.795829282488
395450075485401,39.9137222,-75.8141944,1092,0.3537069583867297,0.6197147242235268,-11,91.310005188,3.7262114998287093,25.2,26.9,47.9,39.9137222,-75.8141944,Pennsylvania,1092,35180.89,146230.81146312447
395512075293701,39.9200833,-75.4930556,1322,0.35729165967645093,0.6405714147003655,-5,83.232269287,2.0585103628034815,19.6,34.8,45.6,39.9200833,-75.4930556,Pennsylvania,1322,42800.35,145669.3118195313
395920079021501,39.9888333,-79.0375,809,0.3232600729512084,0.4383014441193732,-3,707.261779785,7.107587988226638,25.4,32.3,42.2,39.9888333,-79.0375,Pennsylvania,809,22648.98,98166.02263621957
395928074502701,39.9912232,-74.840442,670,0.33580122202526885,0.5397067700579548,-2,3.504024744,1.578310679643147,19.2,57.3,23.5,39.9912232,-74.840442,New Jersey,670,20462.41,72360.6690625378
400120074265401,40.0223375,-74.4479288,1103,0.3461830407606735,0.5563695381164082,3,54.313117981,15.436182590288144,12.1,61.6,26.3,40.0223375,-74.4479288,New Jersey,1103,36627.350000000006,25572.04107636835
400148074352101,40.0301135,-74.58876678,499,0.35053205526291276,0.48288069075637696,-1,34.231559753,2.7297048439601204,,,,40.0301135,-74.58876678,New Jersey,499,16567.18,35014.506694650016
400209077183301,40.03527778,-77.3080833,741,0.3664358622915166,0.6547753288209102,-8,293.481018066,6.470918341060363,16.3,35.2,48.5,40.03527778,-77.3080833,Pennsylvania,741,23961.69,149844.39549772715
400217078281901,40.0376111,-78.4719167,671,0.32619111201101514,0.6084324693039239,-7,352.317749023,5.380790019967495,30.8,24.0,45.3,40.0376111,-78.4719167,Pennsylvania,671,18310.43,298502.96327681903
400229075104601,40.0414722,-75.1793333,359,0.3307411141846939,0.5800637638167108,-2,81.823608398,4.680863664129634,,,,40.0414722,-75.1793333,Pennsylvania,359,11020.08,40202.53411379011
400808075210401,40.13616667,-75.3506944,708,0.3637456920233697,0.6359666868951981,-4,50.71118927,3.221358645717661,,,,40.13616667,-75.3506944,Pennsylvania,708,23243.54,151757.6134675805
400916076492301,40.1549722,-76.8229167,737,0.3452115689371016,0.45586675363534424,-3,143.369995117,6.709986244735891,26.3,31.2,42.6,40.1549722,-76.8229167,Pennsylvania,737,22190.059999999998,262992.1944385983
401552074501801,40.26483028,-74.8362747,455,0.34300167721169683,0.38584781337085505,-1,37.243408203,4.998321196261683,23.2,38.6,38.3,40.26483028,-74.8362747,New Jersey,455,13706.16,139043.956014508
401637076071501,40.27702778,-76.1206667,807,0.3573653425197294,0.4854295744158771,-9,149.51701355,3.1955375046931414,23.5,25.8,50.7,40.27702778,-76.1206667,Pennsylvania,807,26163.53,127245.75920557836
401753074483501,40.29816305,-74.80932958,598,0.35038855252320444,0.4761740322623792,4,65.177261353,4.661958042602724,,,,40.29816305,-74.80932958,New Jersey,598,18837.0,126229.56399211538
401834074515501,40.31038498,-74.85377538,1066,0.35303079346080724,0.49321351674327507,0,55.809371948,20.54914177333793,21.8,33.9,44.3,40.31038498,-74.85377538,New Jersey,1066,33876.979999999996,358980.1569398014
402138074435801,40.36066208,-74.732383,888,0.347153552846566,0.46878979093100936,-4,65.946289062,3.4869534007533387,20.3,36.0,43.6,40.36066208,-74.732383,New Jersey,888,27232.809999999998,160407.14764878157
402138079031802,40.3604722,-79.0558333,788,0.3199855301884007,0.47902325605029306,-9,391.193878174,4.998529594447199,28.0,27.0,45.0,40.3604722,-79.0558333,Pennsylvania,788,21263.91,97203.80053828328
